;% samples matched;
1-REF136;0.043763676;
1-REF105;0.043763676;
1-REF123;0.043763676;
1-REF146;0.043763676;
1-REF107;0.043763676;
1-REF94;0.087527352;
1-REF59;0.043763676;
1-REF121;0.087527352;
1-REF124;0.087527352;
1-REF145;0.043763676;
1-REF6;0.175054705;
1-REF38;0.087527352;
1-REF109;0.087527352;
1-REF23;0.306345733;
1-REF12;0.875273523;
1-REF37;0.043763676;
1-REF58;0.525164114;
1-REF26;0.043763676;
1-REF31;0.262582057;
1-REF35;0.043763676;
1-REF32;0.043763676;
1-REF13;0.218818381;
1-REF80;0.043763676;
1-REF143;0.087527352;
1-REF5;0.743982495;
1-REF7;0.56892779;
1-REF134;0.043763676;
1-REF65;0.087527352;
1-REF11;1.269146608;
1-REF4;0.218818381;
1-REF131;0.043763676;
1-REF10;0.175054705;
1-REF15;4.245076586;
1-REF115;0.175054705;
1-REF99;0.131291028;
1-REF100;0.087527352;
1-REF20;0.087527352;
1-REF69;0.043763676;
1-REF19;0.525164114;
1-REF73;0.043763676;
1-REF21;0.218818381;
1-REF95;0.043763676;
1-REF103;0.087527352;
1-REF27;0.043763676;
1-REF133;0.043763676;
1-REF129;0.043763676;
1-REF29;0.393873085;
1-REF24;1.838074398;
1-REF25;0.787746171;
1-REF36;0.087527352;
1-REF110;0.218818381;
1-REF104;0.087527352;
1-REF106;0.175054705;
1-REF39;0.437636761;
1-REF119;0.131291028;
1-REF41;0.087527352;
1-REF43;0.175054705;
1-REF138;0.131291028;
1-REF137;0.043763676;
1-REF72;0.350109409;
1-REF44;0.131291028;
1-REF139;0.087527352;
1-REF51;0.043763676;
1-REF108;0.043763676;
1-REF81;0.087527352;
1-REF48;0.043763676;
1-REF52;0.043763676;
1-REF16;2.407002188;
1-REF55;0.087527352;
1-REF140;0.043763676;
1-REF14;5.776805252;
1-REF53;0.087527352;
1-REF17;0.481400438;
1-REF142;0.043763676;
1-REF45;8.140043764;
1-REF60;0.043763676;
1-REF47;1.444201313;
1-REF22;0.218818381;
1-REF122;0.043763676;
1-REF111;0.043763676;
1-REF33;5.645514223;
1-REF68;0.131291028;
1-REF61;0.218818381;
1-REF62;6.870897155;
1-REF125;0.087527352;
1-REF71;0.56892779;
1-REF40;1.225382932;
1-REF28;1.663019694;
1-REF34;16.28008753;
1-REF67;1.13785558;
1-REF50;0.043763676;
1-REF70;0.525164114;
1-REF127;0.043763676;
1-REF42;9.277899344;
1-REF87;0.131291028;
1-REF116;0.087527352;
1-REF75;0.393873085;
1-REF84;0.218818381;
1-REF77;4.070021882;
1-REF74;0.393873085;
1-REF120;0.043763676;
1-REF49;0.131291028;
1-REF76;1.094091904;
1-REF79;0.481400438;
1-REF56;1.444201313;
1-REF82;0.175054705;
1-REF114;0.043763676;
1-REF128;0.043763676;
1-REF112;0.043763676;
1-REF78;0.525164114;
1-REF85;0.131291028;
1-REF54;0.087527352;
1-REF126;0.087527352;
1-REF83;0.262582057;
1-REF98;0.043763676;
1-REF46;1.269146608;
1-REF96;0.043763676;
1-REF86;0.087527352;
1-REF130;0.043763676;
1-REF64;0.043763676;
1-REF57;0.087527352;
1-REF102;0.087527352;
1-REF113;0.043763676;
1-REF97;0.218818381;
1-REF93;0.306345733;
1-REF88;0.131291028;
1-REF91;0.087527352;
1-REF118;0.175054705;
1-REF90;0.131291028;
1-REF63;0.131291028;
1-REF132;0.043763676;
1-REF92;0.087527352;
1-REF117;0.043763676;
1-REF9;0.087527352;
1-REF135;0.043763676;
1-REF101;0.043763676;
1-REF2;0.043763676;
1-REF1;1.13785558;
1-REF3;2.538293217;
1-REF30;0.175054705;
1-REF8;2.407002188;
1-REF18;0.087527352;
1-REF141;0.043763676;
1-REF144;0.043763676;
1-REF66;0.043763676;
1-REF89;0.087527352;
